"text","class"
" ovo points   detail  dm","Positive"
" ok  saldo  dikembalikan terimakasih ","Positive"
" pagi admin mohon cek dm terima kasih ","Positive"
" sih  nggak   pelanggan setia  kayak pacar konsumen    sayang sayang biar  nggak berpaling    yuk ikutin tips tricks  toped ya tokopediacare ","Positive"
"   kasih didepan nya rp rupiah  rp  senilai mata uang kalo dapetnya ovo point  nilainya gak sesuai rp","Positive"
" ok btw  udah  ss ","Positive"
" min  bonus cashback  masuk    bayar perkiraan cashback  bayar pln ","Positive"
" selamat malam  pemnayaran produk digital  transfer manual bank mandiri    lakukan   error ","Positive"
"   utk  solusi  customer tp kena  sungguh tdk sigap menanggapi   knp tdk   empati dr  sy lg  problem  brg yg  terima knp tdk  respon yg   mengulang ngulang  yg tdk  mengerti konsumen ","Positive"
"min     proses pembatalannya   kerjakan ","Positive"
"toppers   waspada ya      mengaku  tokopedia   data pribadi   whatsapp   seputar tokopedia   hubungi  mengakses halaman bantuan  ","Positive"
" mohon respon pemgaduan  ","Positive"
" rugiiii  kalo yg  dibeli  brgnya kalo ga  uang ngendon disono  donk  ya  ditarik lahh  mah ga   narik uangnyaening pribadi  uangnya     toko cash ndah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
" halo  dina mohon maaf  ketidaknyamanannya utk menindaklanjuti keluhan yg  alami  membutuhkan  data  keamanan data  mohon  data tsb dikirimkan  email  mandiricare co id cont ","Positive"
" dibantu bantu kk klik pick up g  untu grab insat ","Positive"
" oke  tunggu secepat nya","Positive"
" min invoice ph dx hs zwaq benefit promo   terima sdh lbh dr x jam mohon info trims","Positive"
"  seller udah setuju  ngirim sisa item yg kelupaan ","Positive"
"   konsekuensi   info    sesuai    menit  menit  mengakibatkan kerugian    beli kuota    kuota   hangus ","Positive"
" hello admin tokopedia  siang ane udah beli tiket pesawat  berhasil transaksi  tokopedia   dikirim  bukti e ticket nya   tertera nomor kursi terminal bandaranya tujuan pontianak jakarta cgk mohon  drespon tq ","Positive"
" gaa asli ui tokped yg  ribet   suka","Positive"
" tolong diselesaikan  tagihan  tercatat  tagihan cc           susah gara transaksi   divoid  tokopedia ","Positive"
"  habis aktivasi ovo berhasil knp   halaman utk  pin ovo ya   teraktivasi  masukkan kode otentivikasi ovo points  tokocash tdk masuk mohon bantuannya","Positive"
" min  mohon bantu trx   input resi  valid    track  website resmi jne  statusnya  menunggu  barang   delievered  pembeli   konfirmasi terima kasih","Positive"
" halo sy  dm mohon   diproses","Positive"
"   berubah nih kak sdh masuk  ketiga   perubahan","Positive"
"   beli pulsa bayar pake toko cash yg skrg jd ovo tp ga  pilihan  metode pmbyran dgn ovo toko cash   gmn  ya ","Positive"
"  lha koq gitu   nyaman tokopediahebat","Positive"
"  sy bayar kartu kredit  tokopedia dgn metode bayar   saldo tokocash dana dr bank sy  terpotong  x jam     dana    nya pembayaran  berhasil  yg   transaksi ivr xviii x  yg skrg ","Positive"
" gak suka  keputusan  bekerjasama  ovo  cashbacknya masuk  ovo point gak  dipakai transaksi  tokopedia    seneng   cashback   beli reksadana kerjasama  bikin gw kecewa banget ","Positive"
"  x jam transaksi mohon dibantu selesaikan ","Positive"
"  bener alasannya sy beli ga    tv jg    cepet  respon penjualnya bagus ga  yg   sy komplen opsi batal ordernya manaa yaaa keburu uangku udah ditelen  penipunya ya ","Positive"
" cek dm ya admin a bersyukur     miliki  mensyukuri keberadaan       semangatpagi tokopediacar but hopefully proses verifikasi   cepat g nyambung ps t co cnjkzis mw","Positive"
" dear all mohon dibantu penjualan sayadan janji tokopedia review x jam      x jam   tgl okt tokopedia menarik   mohon saran  pihal  case ","Positive"
" ya   kena php  ditulis  dapet cashback rp  masuknya point   rupiah pas  pake belanja point  dihargai ribuan  kalo  cashback  tulis rp didepannya pelanggan kena tipu ","Positive"
" kecewanya    tunggu  sabar   respon   sesuai  yg  harapkan  bilang  disuruh   bank   batalkan transaksinya ole  bank what   tunggu   dilempar  ","Positive"
"  klu  kak  tunggu ya terimakasih ","Positive"
" siang     beli barang pembelian  berhasil   otenfikasi keamanan  nomer sya yg udah tdk aktif mohon bantuan  nomer call center nya ya thanks","Positive"
" ok thnks","Positive"
"  nya  nya gw bs pake cashback  beli reksa dana semenjak berubah  ovo gw ga tertarik ama cashback   cashback nya ga  gw pake  beli reksa dana  gw  cashback jd ga berguna ","Positive"
" selamat sore    status penjualan dicek  aplikasi status nya  dikirim   dicek  web jne status nya  delivered","Positive"
" oke min trmksh infonya","Positive"
" ya  tp   email sy ga  masuk dr ovo   konfirmasi   pdhl sy sdh coba daftar kali lho","Positive"
"makasih mudah an secepatx   infokan nnti lwat dm aja info klau sdh  transaksi yg td mbak makasih","Positive"
"    bodoh   yg  bayar bunga nya  beli  tokopedia krn  tawaran cicilan    pilih metode pembayaran cicilan dgn x    pilih metode pembayaran cicilan  aplikasi tokopedia sistem  yg bermasalah","Positive"
" min toped ko promonya jarang banget ya ga kaya online shop sebelah ayodong min biar  rajin belanja adain promo  menarik   diskon tuker kupon cashback  rp  tuh minn kalo  hehe","Positive"
" oke min   follow  dm","Positive"
" akun tokped gadingc com  mengajukan pembatalan tiket lion air  penerbangan nov jam pembatalan  ajukan  tgl oktober malam pembatalannya sukses kah ","Positive"
" cashback  promo kode plnpasti senilai  masuk  sdh  x jam  status transaksinya sukses  saldo tokocash blm nambah  ","Positive"
" krn udah x  coba beli  toko pedia  gk sesuai dgn yg  tawarkan  yg  kirim","Positive"
" email   berbeda    adik     transfer via sayaapa tiket   ketentuan      data  bertemu teman sekampus  robby besokuntuk case  teman    e banking   tolong ","Positive"
" oktober     outlet bakmi gm utk redeem lg tp tetep  invalid   lampirkan screenshotnya nama customer ninthyashari tanggal kejadian sabtu okt jam kejadian sesuai struk pembelian","Positive"
" min  top up ovo d aplikadi ovo         saldo ovo   aplikasi ovo saldo ovo  aplikasi  layanan yg sdh kerjasama dg ovo tsb td note no hp akun  email beda ","Positive"
" mohon penjelasan    pilihan transfer va bank mandiri utk pembayaran pascabayar  semalam  coba   tks ","Positive"
" trx  berhasil  cashback  blm masuk  toko cash ya ","Positive"
" transakasi topup pln bayar tagihan pascabayar bayar tagihan telkom  tagihan kartu kredit pas bayar pilihan mandiri virtual account  mandiri transfer  grey   dipilih","Positive"
" sorry  baca  admin toped silakan disimak ","Positive"
" kendala  engga  khawatir toppers belanja  nyaman  aman   pusat resolusi temukan solusi terbaik    penjual  adatipsnyatoppers tokopediacare edukasitoppers tokopediacare","Positive"
" min tolong   kebijaksanaan keadilanya   buka telor emas expired kupon nya desember gimana   belanjanya klo udh  november gini   nfo  biar  gak pake tokped  sampe helppp ","Positive"
" oke  tunggu x jam  terima kasih infonya","Positive"
"min sy aktivasi ovo cash   menggabungkan akun yg  sy mengganti no hp akun yg  sesuai petunjuk toped tp skrg sy   login  akun yg   saldo  tokocashnya    gmn ya ","Positive"
" toko    tutup capek nungguin dri ","Positive"
"toppers  kabar gembira nih    mahasiswa  bidang teknologi  data   tokopedia membuka beasiswa bernama tokopedia scholarship yuk cek info selengkapnya   tokopediaCnapun tokopediacare mulaiajadulu tokopedya ","Positive"
" maksudnya  ya min uda sesuai tnc kayanya pdhl  cm pakai kupon tp cm  ","Positive"
"selamat sore mbak    membatalkan pembelian tp sdh  transfer  uang yg sdh ditramsfer  terimakasih ","Positive"
"   yaa d batalkan  dana   ","Positive"
" oke  via dm ","Positive"
" sebentar   infokan ya klo sdh  pencarian driver ulang trims","Positive"
"    ovo points    belanja  tokopedia   ovo cash  ","Positive"
" listrik pulsa  beli  cashbacknya    tugas  kereta jujur  yg blm   coba  promo cash backnya lumayan","Positive"
" min knp  g klacak ya padalan resi asli ","Positive"
"tokopediacare xiannbb hai kak mohon maaf  keterlambatan responnya rasti infokan  kakak  infokan detail alamat retur  chat halaman pusat resolusi sesuai format     infokan alamatnya  hubungi   bantu diteruskan  tim ","Positive"
" min transaksi  dg nomor invoice ivr xviii x   skema cicilannya dibatalnya   pesan  chat tokopedia prosesnya  berhasil thanks","Positive"
"  beli tiket guns n roses purple zone buah tgl oct bayar sukses via transfer cimb cont ","Positive"
" min dm gua   kacangin  min ayo kebut","Positive"
" min  dm  ga digubris ya   lho","Positive"
"  coba  pake akun berbeda  ttp tdk  maknya    nanya utk bukti ss  sayanlampirkan  chat   mohon  bantu ","Positive"
" kak mohon infokan kepihak kurir karna paket  minggu   perubahan status pengiriman stay dijkt sja","Positive"
" iya min  buyer  konfirmasi pesanan yg resinya   angka   resi asli nggak  error messagenya terlampir  screenshot yg dikirim buyer  pesan mohon dibantu      tangan buyer thanks ","Positive"
" mohon dibantu penyelesaiannya ","Positive"
" mohon info   belanja  memilih pengiriman   request pick up nya penjual    malam  transaksi    diproses pagi    jam sekian   tanda tanda diproses  penjual  dm ya","Positive"
" ok  min    bnr mmbantu ngg kaya mimin berbelit belit","Positive"
" min ovo cash  ovo point  maintenance ya  may transaksi   mohon bantuannya ya","Positive"
" hayy tokopedia tolong balas dm ya   ","Positive"
" ok makasih min enjelasannya  keren banget sih si admin nih  ngelacak transaksi  ya heheheober loh min   sejarang   diproses   orng admin gini aj  kemarin","Positive"
" selamat pagi    maksud kesamaan identitas pembayaran   ya seller   beda identitasnya ","Positive"
"  kak terima kasih ","Positive"
" u toko cash skg kn jd ovo berhubung no hp yg terdaftar dgn tokopedia  ovo berbeda jd  rubah no hp sesuai akun ovo   email notif memberitahukan klo akun toko cash trhubung dgn no  gak   notif lg klo akun toko cash  nonaktifkan ","Positive"
" kmrn sy bayar cc   cashback rb pembyran sdh berhasil koq   cashbacknya gak masuk y gan ","Positive"
" halo    ya       mohon   terima kasih","Positive"
" ive had enough of tokopedia aplikasi sampang bangsat pembatalan casback aja   gue beli beneran   order fiktif aman aj sedangakan gue beli beneran   batalkan ","Positive"
" belom tau  ya kak baeangkali tau  qu  komen  shback  tokopedia masuk tokopediacare tgif sesuai format     infokan alamatnya  hubungi   bantu diteruskan  tim ","Positive"
" setuju  terbatas penggunaan poin ","Positive"
" min nomor invoice ivr xviii xi  bayar  transaki  berhasil","Positive"
" barang udh terkirim cek dm ya toped gmn sy  isi resinya transaksinya mohon bantuannya","Positive"
" hai kemarin   pesan  transaksi  penjualan  bermasalah   sertakan bukti lampiran   penjual jg  merespons tolong  ditindak  ","Positive"
" halo     top up ovo  va bni  rp  saldo ovo   bertambah mohon ditindaklanjutin","Positive"
"  besok  promo  engga ya kak dilema nih  belanja   takut udah transaksi eh besok  promo menarik tanggal bagus   tuk kirim hasil karya   menjual    admin tokopedia  berpendidikan   membedakan","Positive"
" outlet penukaran bakmi gmkronologi kejadian kasir  redeem  dibilang   diproses     jaminan  pembelian   bakmi gm  menghubungi tokopedia kasir pelayan  menangani  tau ","Positive"
" aejak jam pm ngk  driver yg  pick up a  seller  dananya masuk    batalkan komplain  apalah  jaminan   refund ","Positive"
"  bilang aja  kasir  top ovo trus kasi no hp ","Positive"
" selamat siang      sdh  account ovo  apps   aktivasi toko cash   account ovo   apps  thanks","Positive"
" terima kasih ya konfirmasinya arena   hasil karya  dinilai  uang terima kasih  maju  sukses udah capek ngisi diulang  percobaan booking melebihi batas makasih ","Positive"
" nominal order  mohon kembalikan    penjual   fitur aplikasi tokopedia yg  yg  sya gak   buka menu komplen ","Positive"
" sing sabar nggeh mas toped cs nya pake bot","Positive"
" min invoice nomer no resi    tracking mohon info trims","Positive"
" mohon info utk mencantumkan produk pre order ","Positive"
"malam transaksi dikompline   pesanan dikirim  sesuai permintaan  mohon  tindak lanjutiterimakasih ","Positive"
" selamat sore bpk fikri  top up sdh berhasil  sdh update saldo  mesin atm  saldo  tdk bertambah utk perihal tsb  membutuhkan  data  utk keamanan data yg   mohon kesediaan bpk utk mengirimkan email  ","Positive"
" permainan  kalo promo kayak gini  error   promo abis  deh bener   yg gw gak suka  tokopedia permainannya halus ","Positive"
" mas  kemarin tarik reksadana  toped  masuknya  tokocash   langsung ditransfer  rekening bank   aman ","Positive"
"   cairin ya  ilham harap bersabar  ujian  hehe","Positive"
" ok  tunggu x jam klo msh blm selesai  publish  suara pembaca ya tks","Positive"
"     penjual  solusi  terbaik     penjual   rugikan  komplain pelanggan   barang   sesuai  iklan ","Positive"
" tolong kirim barang  secepatnya  lampiran foto resi  alamat  beli barang   blm  sdh  ","Positive"
" asyik asyik tokopedia nomer ","Positive"
"halo ko gini  minpadahal jaringan bagus  lg  trouble ","Positive"
" gak  langsung bantuan pusat resolusi kah min  penjual    niat   mengirim barangnya x ngirim no resi kadaluarsa  milik orang   mohon  ditindaklanjuti   chat tp gak  balasan dr penjual  dibaca aja ","Positive"
" erver toped emg lg bermasalah   update terbaru  suka lola email jg masuknya telaaaaaatt bgt","Positive"
"  tdk   top up pdhal sy kebutuhan sy top up saldo gojek","Positive"
" tlg responnya   dm status msh menunggu pembayaran   berhasil transfer ","Positive"
" bagus mbak gak bs aktivasi ovo drpd kyk gw yg saldo ovo nya  ilang krn  yg akses  sepengetahuan gw utk beli reksa dana pdhl  saldo ovo utk    utk grab gw jg goodbye  toped kl gini ","Positive"
" loh  ovo point ya cashback nya haduh gak   beli pulsa   min mohon  review  ya  kepuasan konsumen terimakasih ","Positive"
" kejutan  ni","Positive"
" mas mbak tadikan  beli tiket pesawat   dapt cash back rb msk  tokopediapay   pakai  byr bpjs  berhasil trs  ganti no hpnya karna yg  udh ga aktip   tokopediapay nya hilang angus  gmn ","Positive"
"halo mohon bantu    dapet cashback   x jam  pesanan    ","Positive"
" min tolong  cek pembayaran bpjs ref b b c aac uda sukses belom ya ","Positive"
"  gimana      bukti kalo penjual  salah penjual salah kirim barang      nunggu  gimana kebijakan tokopedia  tokopedia bela   ","Positive"
" oke cek dm","Positive"
"   bls via dm mohon direspon yah ","Positive"
" cek dm   motong ga  curang ambil hak orang","Positive"
"   kalo ekspedisi  wahana  dibwh   bayar  sbg penjual  udah freeong  tokopedia ya ","Positive"
"   min   suka checkout model  karna   nambah ngurangin ganti jasa pengiriman orderan   keranjangtidak  model checkout skrng step nya gak    orderan","Positive"
" giiii  kalo yg  dibeli  brgnya kalo ga  uang ngendon disono  donk  ya  ditarik lahh  mah ga   narik uangnyaening pribadi  uangnya     toko cash ndah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
"   promosi kelebihan tokocash tokopedia     berlaku  teman  saudara  ","Positive"
" kakak mohon direspon  ","Positive"
" tolong  bijaksananya kembalikan modal usaha   sungguh gak adil dana  dipotong    toped kasih promo  penjual yg dibebankan     modal barang  ongkir  kah toped  ","Positive"
" blm  klik cari driver otomatis ya  hub gosend no resi yg kmrn sdh  aktif","Positive"
" min no invoice masuk pusat resolusi  udh mnta bantuan admin tp  blm  respond mohon bantuan nya mksh ","Positive"
"dear    pembayaran via tokocash   ya mohon info tks ","Positive"
"  sy sertakan bukti fisik resi yg    brapa uang yg sy keluarkan ","Positive"
" terima kasih   balas emailnya mohon  cek kak ","Positive"
" mohon  cek dm nya terimakasih","Positive"
" mohon pencerahannya mimin reksadana  sistemnya   ","Positive"
" kak pengumuman pemenang promo bayar tagihan pake kode dptagihan  ya ","Positive"
" ok tksh ya","Positive"
" maaf ya    buyer seller  th merasakan problem solving via sosmed tokopedia  cepat  toko sebelah yg  call center habis  pulsa  lambat penangannya","Positive"
" pkai kupon  preorder  oh   cashback masuk  pembayaran sdh sukses  brgnya diterima  ","Positive"
" mohon cek dm ya kak urgent terima kasih ","Positive"
"  gak  pake    gak  rekening  mandiri  bni pembayaran via minimarket gak praktis    minimarket dl  gak  bayar pake kartu kredit metode   gak suka  transfer via bni  dipake  bayar digital lg ","Positive"
" top up tcash   ga mba ","Positive"
" min  gitu top up  saldo tokopedia     gimana uk top up  saldo","Positive"
"    pesan furniture custom bikin ukura n sesuai pesanan  aman   pedagang tdk  tdk  toko trus brg blm  tp sy sdh hrs bayar cicil dg credit card tolong ya info thanks","Positive"
"tokopediacare afhzh jenny lanjutkan  ya kak maaf  ketidaknyamanannya   cashback  rp  berhasil  teruskan  saldo tokocash kakak  tanggal november jam  nomor xxxx yuk cek saldo tokocashnya trims","Positive"
"min tolong invoice  sy kirim pakai jne tp lupa ganti kurir pengiriman  tiki mohon dibantu","Positive"
"   sih jd ovo point sih  gak   until belanja lg  tokopedia  reksadana disitu  beli reksadana disitu agai sistem pembayarannya  aja   berbeda ya no inv tolong mingpembeli  cancel","Positive"
" dear tokped   menerima orderan  lupa ganti alamat pick up pengiriman by gojek yg  masukkan alamat kantor lupa  ganti  alamat rumah mohon bantuannya ","Positive"
" min   top up emoney terkendala  verifikasi tolong bantuannya ","Positive"
" min   saldo toko pedia  tokocash   top up ga ","Positive"
" oke om makasih ya infonya","Positive"
" tgl besok  kerja  pengembalian dana    maksimal  dana     konsekwensi tokopedia tokopediacare tokopediacare belanjaonline onlineshop","Positive"
"  batalin pesanan tdak  mohon dibantu seller  setuju","Positive"
" hello admin tokopedia  siang ane udah beli tiket pesawat  berhasil transaksi  tokopedia   dikirim  bukti e ticket nya   tertera nomor kursi terminal bandaranya tujuan pontianak jakarta cgk mohon  drespon tq ","Positive"
"  sayang bgt pdhal enak tokocash  pulsa prabayar ","Positive"
" ok","Positive"
" jam  wib   jam  min   nunggu     direfund  transaksinya","Positive"
" min skrg  tokocash diganti  ovo    dpt cashback cashbacknya  saldo ovo ","Positive"
"  mengirimnya  cod ","Positive"
"toppers  lupa salin kode promo   ikuti  cashback  diterima  transaksi sukses happy weekend ya ","Positive"
"  nanya status inv  min   sellernya buyer kasih no invoice diatas  blom  order an masuk sesuai diatas ","Positive"
" min mohon bntuan nyaa transaksi   kirim kemaren   lupa  memasukkan resi pengirimannya ","Positive"
" ga bs d track loh skrg ga  status paket dimana    drivernya gmn ya ","Positive"
"demen bangeet  toko cashnya udah  ovo   cashback   dibelanjain gak   tokopedia aja menguntungkan bgt  gw  suka berburu cashback  transaksi pembayaran  bulannya nnya min nuhun alasan pembeli  cancel","Positive"
" migrasi tokocash  ovo  mudah sodara ","Positive"
"kak tolong verifikasi pembayaran   hehe ","Positive"
" flash salenya eror pas klik beli  eror","Positive"
" min tolong info senilai rp pembayaran briva  berhasil saldo rekening  terpotong  status  menunggu pembayaran ","Positive"
" ok thx u min","Positive"
" mohon bantuannya  retry pick up ","Positive"
" gan  tokocash   top up  ya ","Positive"
"  kak mohon d bantu perubahan  jne yah kak ","Positive"
" jd kl pembeli  trf  tokopedia dgn rek bca brarti   penjualan dibatalkan  penjual  uang yg  trf  pembeli  bs ditarik   pembeli  rek bca     thx","Positive"
" tolong  respon min   uda x jam  dana blum ","Positive"
" ivr xviii xi tanggal nov min yg  koq top up pln pakai voucher kupon cashback nya blm masuk ","Positive"
" aktivasi ulang   berulang   koneksi  stabil  ","Positive"
" mohon bantuannya pesanan  pake sameday  tanggal nov sampe skrg nov belom  kejelasan pengiriman ","Positive"
" mohon dibaca dm  min trims ","Positive"
" ok mksh","Positive"
" mohon cek dm terima kasih ","Positive"
" dear tokopedia  dicek  saldo toko cash   masuk retur an dana transaksi yg  cancel  september mohon  bantu ya admin thanks","Positive"
" halo min   beli kacamata  flash sale tp koq beratnya kg  serius  becanda ","Positive"
" mohon bantuannya  kendapa  no pesanan  klik pickup   terproses pickup terima kasih","Positive"
" tolong  tokopedia  tingkatkan sistem verifikasi pembayaran  banget proses verifikasi pembayaranya coba contoh shopee bukalapak  cepat proses verifikasi pembayaran  kecewe","Positive"
"  tiket email cs tdk berani         melebihi batas  kode  diterima ","Positive"
" kendala  engga  khawatir toppers belanja  nyaman  aman   pusat resolusi temukan solusi terbaik    penjual  adatipsnyatoppers tokopediacare   komplain ga  karna resi udh  ya ","Positive"
" kebanyakan omong coy hati duitnnya  teliti  klo ga  duitnnya  baliknnya ga  respon  cepat klo  duit ","Positive"
" hello min mohon maaf    pembelian voucher viu     pembayaran tp kode vouchernya  dimana ya ","Positive"
"  topup emoney  bca virtual account  bermasalah    coba topup lg status  tokopedia berhasil  update saldo  kartu       kalinya  mengalami    ","Positive"
" mohon baca dm  ","Positive"
" min   ikutin saran tp tetep ga  niat pembeli  menyelesaikan  ga model kaya  sih spy ga ribet ","Positive"
"mohon jawabannya ","Positive"
"       menikmati autosweep tokocash  reksadana   mah    minat  reksadana tokped mending langsung  lembaga keuangan   coba  gimana  gabisa bantu   ","Positive"
" ok brsaua terima   cashbacknya terima kasih    kupon promo     selesai    sabar   cek    tolong keluhan   perhatikan terima kasih","Positive"
"    upload  tetep  ya ya diverifikasinya mohon  cek ya ","Positive"
" kemarin tgl nov sy  pembelian tiket nonton gnr  gbk   pembayaran  transaksi berhasil  no pesanan namum    blm dapet e tiket  email","Positive"
" oke makasih kiara dhi admin","Positive"
" ihhh perhatian bangt sii makasih ","Positive"
"halo      kelebihan transfer  x  mengembalikan uangnya gimana ya terimakasih","Positive"
" iah min sy  ninja  instant kurir   buyernya ga bida klil konfirmasi terima mohon d bantu min ","Positive"
" min knpa penjual tdk dpt  perubahan pd kolom konfirmasi ganti kurir padalah toko  merubah jasa kurir yg  karna alasan tetentu sblmnya tdk  bermasalah klo  perubahan jasa kurir tsb trims ","Positive"
" sy beli tiket kai dgn promo campak trx sukses  cashback blm sy terima tks","Positive"
" mohon dibantu  aduan  ya terima kasih","Positive"
" hai udah pake kupon cashback udah sesuai syarat tpi  cashback ga masuk yaa  ovo udah x jam  thanks tolong d reply udah gatau      submit form cust care ga   ","Positive"
" ok","Positive"
" sih  nggak   pelanggan setia  kayak pacar konsumen    sayang sayang biar  nggak berpaling    yuk ikutin tips tricks  toped ya tokopediacare ","Positive"
" gegara  jihad ampuuint   jugaaa  gimana yah   diproses   orng admin gini aj  kemarin","Positive"
" ka baca dm  tks a td barang sy udh  pickup gojek tp tbtb gojek ngebalikin pesenan   penjual mohon kejelasannyaaaepat mengerti thankyouat  pdhl sdh melewati batas jam dr yg diinformasikan sblmnya ya toko nya  nipu  gmn makasih ","Positive"
" ok terimakasih","Positive"
"  kak trims ya is the best mudah nyaman  fast respon","Positive"
"  min trima ksh  info ny","Positive"
" min  isi emoney  jam   jam   tweet  ditulis  masuk mohon bantuan detil  dm ya","Positive"
" ivr xviii xi min bantu batalin transaksi  transaksi pulsa   masuk  menit mohon  batalkan ","Positive"
" oke trims tokped g  liat katalog promo aya   tgl nov  menunggu  x jam langsung masuk  transaksi  tweet  statusnya   transaksi selesai kecuali statusnya  review  memahami  statusnya  selesai lho ","Positive"
" loh gimana sih  x jam  sdh  kode unik  tambahkan  pembayarannya","Positive"
" hai tokped mohon infonya  order pesanan  kurir grab send bs diubah  instant courier order cust  dr kmrn d tolak driver grab     proses pencarian driver terima kasih ","Positive"
"  tagihan tokopedia tdk  dr yg   byr minimun kena bunga berjalan  penjualnya bagus ga  yg   sy komplen opsi batal ordernya manaa yaaa keburu uangku udah ditelen  penipunya ya ","Positive"
"dear  transaksi  bank mandiri  mandiri clickpay  transfer manual      ","Positive"
" ok  tunggu kabarnya trims pop","Positive"
"  kak","Positive"
" udah   menu top up  ","Positive"
"mohon balasannya  ","Positive"
" harap nya  fair  jujur ya  kemenangan   x  giveaway  berhadiah produk maspion kompor  magic jar    jujur tp pas  isi linknya x  gimana  gak  ","Positive"
" iya kocag gue  bagus ratingnya bagus  satupun konfirmasi gak  ","Positive"
" halo min  dibantu  invoice nomor ivr xviii xi tanggal nov transaksi sukses     benefit promo cashback  transaksi tersebutselain  pembelian cashback  referral    ","Positive"
" min ovo cash sesuai peraturan  bs  utk bayar cc  tiket pesawat tp knapa tiket kreta  gbs ","Positive"
" ngga asik  deh klu pake ovo points bye bye deh klu bgtu males belanja  deh  min klu  enak sih ng  deh pake ovo point ternyt   batasin  smp  aj sayonara deh min","Positive"
" kak  tokopedia emasnya  ga aktif   jual emas  gimn  ","Positive"
" min mohon dibantu   beli     kupon cashback  masuk  barang sdh dikonfirmasi   skrg saldo tcash  blm bertambah ","Positive"
" kmrn sy coba klik ttg toko cash  jawabannya ga  diharapkan saldonya  syg  ga dipakai lumayan  beli mouse hehe tq","Positive"
" ok min sent","Positive"
" hallo    aktivasi ovo  apk nomor  sesuai ","Positive"
"  lampiran   membantu mohon fast prgoressnya ","Positive"
" kalo mmg  respon cepat    ","Positive"
"  memesan barang  barang tsb  asuransi   invoice nya tertulis    asuransi mohon  cek ulang terima kasih","Positive"
" hai cust      pemesanan dibtokopedia tp alamatnya terpencet  alamt tmn  yg  sy kirimi barang  penjual  konfirmasi  mengganti dg alamat yg     penjual takut tokonya bermasalah makasih ","Positive"
" butuh urgen  pulsa    bayar nggak biasannya  kaya gini ","Positive"
" ok sdh sy dm min ","Positive"
" ok dicoba    kali clear cache data  login  yg  jg ","Positive"
" hallo admin tokopedia mohon  pastikan  invoice    lacak perkembang pengiriman   tanggal    kemarin   tanggal mohon kerjasamanya min ","Positive"
" dear  y   check out  pc      check out  app     mengganti provider internet  sayang  voucher yg     dipakai","Positive"
"salut  pelayanan barusan lapor kalo refund tiket pesawat  kendala langsung dilayanin  uang refund masuk  rek  s nyicilnya smpe    bunga     mohon pencerahannya min nuhun alasan pembeli  cancel","Positive"
"belanja  gak  bedanya dg nonton uya kuya  nguji kesabaran hebat dr tgl     sanggup  sekedar normatif ","Positive"
"tim tokopediacare percaya saudara   palu donggala sulteng   bangkit  tersenyum berkat dukungan   yuk   salurkan kepedulianmu  berdonasi  link ","Positive"
" bayar pdam  statusnya berhasil    cek tagihan  muncul pdam   konfirmasi    nyuruh   pdam  lempar tanggung  kapok transaksi   ","Positive"
"bro  cashback  ovo points  digunain nya   aja bro   cashback nya    belanja  top up  ","Positive"
" yg  gift kursi gaming  iklan logo  video    penghapusan video  video  ","Positive"
"  ditunggu","Positive"
" diperhatiin abis gajian belanja  tokopedia  ya bukti bakti gue  ortu   tokopedia  sih mama  pulsa gue beliin  tokopedia   setia gitu sa trakan berpindah karna su sayang nyanyi mulaiajadulu tokopedya ","Positive"
"  nih kasusnya kaya  barusan beli tiket kreta pake promo dgtoped  cashback ga masuk mayan lho rb min","Positive"
"  min makasih ","Positive"
"berhasil isi saldo e money  saldo gak bertambah  update top up saldo    mudah  nfc  smartphone atm channel bank mandiri gerai retail terdekat cek edukasitoppers tokopediacare","Positive"
" oke terima kasih ","Positive"
"  makasih  mba jenny  diterima paketnya sukse yah tokopedia moga  mantav lg","Positive"
" stok  kosong nggak  diedit sampe  link udah dikirim via dm mbak silakan dicek terima kasih ","Positive"
" oke ","Positive"
" oo  yaa  langsung dapet  transaksi sukses sih min hehe tks infonya rgrds","Positive"
" mohon infonya   ovo cashback toped skrg masuknya  ovo poin  poin rp brarti  dpt cashback rp ovo pointnyabkd jg kah byr listrik n tlp telkom  pk ovocash point ","Positive"
" malam   tolong resolusinya  transaksi terlampir total transaksi  dana      tersangkut     disuruh sabar   csnya  sampe  ya ","Positive"
" gmn min   lampirkan  buktinya sesuai dgn kode pembayaran  ","Positive"
"   setuju tolong batalkan ","Positive"
" min  pagi   transaksi beli pulsa  tokopedia  promo  cashback   transaksi berhasil  masuk  ovo points ya  ovo cash   ovo points dipakai  transaksi terima kasih ","Positive"
" hello     pembelian hp  cc cicilan x  notifikasi konversi cicilan berhasil   notifikasi   ga ya ","Positive"
"perbedaan    kaya costumer care  wkwkwk shopee  indosat  tokped  axis balesnya mayan cepet ","Positive"
"   top up e money bni tapcash  gak  ya ","Positive"
"kak cek dm  atir toppers belanja  nyaman  aman   pusat resolusi temukan solusi terbaik    penjual  adatipsnyatoppers tokopediacare edukasitoppers tokopediacare","Positive"
"siang min mohon bantuan  login  akun  emailnya   aktif     kode verifikasi ya     transaksi   membayar    masuk  akun ","Positive"
